"locid"	"location"	"shortame"	"city"	"state"	"country"	"insttype"	"lon"	"lat"	"url"	"DUNS_NUMBER"	"bad"
"1"	""	""	\N	\N	\N	"0"	"70.3800314"	"34.220389"	\N	\N	"0"
"2"	"Institute for Theoretical Biology"	"Institute for Theoretical Biology"	"Berlin"	"Berlin"	"Germany"	"0"	"13.3817423"	"52.52536869999999"	\N	\N	"0"
"3"	"ETH Zürich"	"ETH Zürich"	"Zürich"	"ZH"	"Switzerland"	"0"	"8.548045"	"47.376444"	"https://www.ethz.ch/en.html"	\N	"0"
"4"	"RWTH Aachen"	"RWTH Aachen"	""	""	""	"0"	"0"	"0"	""	\N	"3"
"5"	"Polytechnique Lausanne"	"Polytechnique Lausanne"	""	""	""	"0"	"0"	"0"	""	\N	"-1"
"6"	"Albert Einstein College of Medicine"	"Albert Einstein"	"New York"	"New York"	"United States"	"0"	"-73.844415"	"40.852305"	""	\N	"0"
"7"	"American University"	"American University"	"Washington"	"DC"	"United States"	"0"	"-77.0894822580956"	"38.93775105"	\N	\N	"0"
"8"	"Amgen"	"Amgen"	""	""	""	"0"	"0"	"0"	""	\N	"2933"
"9"	"Amsterdam"	"Amsterdam"	""	""	""	"0"	"0"	"0"	""	\N	"354"
"10"	"Animal Science and Society"	"Animal Science and Society"	"Champaign"	"IL"	"United States"	"0"	"-88.23968769999999"	"40.0939137"	\N	\N	"0"
"11"	"AnthroTronix"	"AnthroTronix"	"Silver Spring"	"MD"	"United States"	"0"	"-77.02577409999999"	"38.99873669999999"	\N	\N	"0"
"12"	"Arizona State University"	"Arizona State"	"Tempe"	"AZ"	"United States"	"0"	"-111.936246"	"33.41552"	\N	\N	"0"
"13"	"Arrington Research"	"Arrington Research"	"Scottsdale"	"AZ"	"United States"	"0"	"-111.928572"	"33.733446"	\N	\N	"0"
"14"	"AstraZeneca LP"	"AstraZeneca"	"Canóvanas"	"Canóvanas"	"Puerto Rico"	"0"	"-65.8830328206662"	"18.3830026"	\N	\N	"0"
"15"	"ATR"	"ATR"	\N	\N	\N	"0"	\N	\N	\N	\N	"-1"
"16"	"ATR Computational Neuroscience Laboratories"	"ATR"	"Stoke-on-Trent"	"England"	"United Kingdom"	"0"	"-2.20782585379757"	"53.0168509"	\N	\N	"0"
"17"	"Australian National University"	"Australian National University"	""	""	""	"0"	"0"	"0"	""	\N	"2128"
"18"	"Bar-Ilan University"	"Bar-Ilan"	"Jerusalem"	"Jerusalem District"	"Israel"	"0"	"34.8430876"	"32.0691989"	""	\N	"0"
"19"	"Barrow Neurological Institute"	"Barrow Neurological Institute"	"Phoenix"	"AZ"	"United States"	"0"	"-112.0799901"	"33.4810968"	\N	\N	"0"
"20"	"Baylor College of Medicine"	"Baylor"	"Houston"	"TX"	""	"0"	"-95.3957726"	"29.7105076"	"https://www.bcm.edu/"	\N	"0"
"21"	"Bell Laboratories"	"Bell Laboratories"	\N	\N	\N	"0"	\N	\N	\N	\N	"3869"
"22"	"Ben Gurion University"	"Ben Gurion University"	"Safed"	"North District"	"Israel"	"0"	"35.4978089174904"	"32.9619648"	\N	\N	"0"
"23"	"Berlin"	"Berlin"	"Berlin"	"Berlin"	"Germany"	"0"	"13.3888599"	"52.5170365"	\N	\N	"0"
"24"	"Birmingham University"	"Birmingham University"	"Birmingham"	"England"	"United Kingdom"	"0"	"-1.9367798"	"52.4510426"	\N	\N	"0"
"25"	"Blanchette Rockefeller Neurosciences Institute"	"Blanchette Rockefeller Neurosciences Institute"	"Morgantown"	"WV"	"United States"	"0"	"-79.9600131"	"39.6531088"	\N	\N	"0"
"26"	"Boston College"	"Boston College"	"Newton"	"MA"	"United States"	"0"	"-71.1711649"	"42.3356528"	\N	\N	"0"
"27"	"Boston University"	"Boston University"	"Boston"	"MA"	"United States"	"0"	"-71.1047742"	"42.3339865"	""	\N	"0"
"28"	"Boston University School of Medicine"	"BU School of Medicine"	"Boston"	"MA"	""	"0"	"-71.0723436"	"42.3362671"	"https://www.bumc.bu.edu/busm/"	\N	"0"
"29"	"Brandeis University"	"Brandeis"	"Waltham"	"MA"	"United States"	"0"	"-71.257834"	"42.366763"	""	\N	"0"
"30"	"Brown University"	"Brown"	"Providence"	"RI"	""	"0"	"-71.3975559"	"41.8262113"	\N	\N	"0"
"31"	"Brunel University"	"Brunel University"	"Uxbridge"	"England"	"United Kingdom"	"0"	"-0.471589250610662"	"51.53264695"	\N	\N	"0"
"32"	"Brussels"	"Brussels"	"Bruxelles"	"Bruxelles"	"Belgium"	"0"	"4.351697"	"50.8465565"	\N	\N	"0"
"33"	"California Institute of Technology"	"Caltech"	"Pasadena"	"CA"	""	"0"	"-118.125844"	"34.137618"	"http://www.caltech.edu/"	\N	"0"
"34"	"Cambridge University"	"Cambridge"	""	""	""	"0"	"0"	"0"	""	\N	"370"
"35"	"Cardiff University"	"Cardiff University"	"Cardiff"	"Wales"	"United Kingdom"	"0"	"-3.17969737443907"	"51.4879961"	\N	\N	"0"
"36"	"Carleton University"	"Carleton University"	"Ottawa"	""	"Canada"	"0"	"-75.696016"	"45.38758"	""	\N	"0"
"37"	"Carnegie Mellon"	"Carnegie Mellon"	\N	\N	\N	"0"	\N	\N	\N	\N	"38"
"38"	"Carnegie Mellon University"	"Carnegie Mellon"	"Pittsburgh"	"PA"	""	"0"	"-79.9428294"	"40.4411801"	""	\N	"0"
"39"	"Carthage College"	"Carthage College"	"Kenosha"	"WI"	"United States"	"0"	"-87.8223354745281"	"42.6228148"	\N	\N	"0"
"40"	"Case Western Reserve University"	"Case Western"	"Cleveland Heights"	"OH"	"United States"	"0"	"-81.5970706"	"41.5044963"	""	\N	"0"
"41"	"CAST"	"CAST"	"Kenosha"	"Scotland"	"United Kingdom"	"0"	"-3.3873995"	"56.037846"	\N	\N	"0"
"42"	"City College of New York"	"CCNY"	"New York"	"NY"	"United States"	"0"	"-73.9510088793336"	"40.81819805"	\N	\N	"0"
"43"	"Charite University Medicine Berlin"	"Charite University Medicine Berlin"	\N	\N	\N	"0"	\N	\N	\N	\N	"18145"
"44"	"City University of New York"	"CUNY"	"New York"	"NY"	"United States"	"0"	"-73.9734177"	"40.7506304"	""	\N	"0"
"45"	"CNRS"	"CNRS"	"Paris"	"Île-de-France"	"France"	"0"	"2.26404020346787"	"48.84755265"	\N	\N	"0"
"46"	"CNRS Medite Inst Cognitive Neurosci"	"CNRS Medite Inst Cognitive Neurosci"	\N	\N	\N	"0"	\N	\N	\N	\N	"-1"
"47"	"CNRS, Institut des Sciences Cognitives"	"CNRS"	"Paris"	"Île-de-France"	"France"	"0"	"2.26404020346787"	"48.84755265"	\N	\N	"0"
"48"	"Colby College"	"Colby College"	"Waterville"	"ME"	"United States"	"0"	"-69.6655085"	"44.5670242"	\N	\N	"0"
"49"	"Cold Spring Harbor"	"Cold Spring Harbor"	""	""	""	"0"	"0"	"0"	""	\N	"50"
"50"	"Cold Spring Harbor Laboratory"	"CSHL"	"Cold Spring Harbor"	"NY"	""	"0"	"-73.466515"	"40.8573802"	"http://www.cshl.edu/"	\N	"0"
"51"	"College de France"	"College de France"	"Paris"	"Île-de-France"	"France"	"0"	"2.34537835924191"	"48.8487592"	\N	\N	"0"
"52"	"Colorado College"	"Colorado College"	"Colorado Springs"	"CO"	"United States"	"0"	"-104.827301212923"	"38.85191805"	"https://www.coloradocollege.edu/"	\N	"0"
"53"	"Colorado State University"	"Colorado State"	"Fort Collins"	"CO"	""	"0"	"-105.0865473"	"40.573436"	""	\N	"0"
"54"	"Columbia University"	"Columbia"	"New York"	"NY"	""	"0"	"-73.9612492"	"40.8089897"	""	\N	"0"
"55"	"Cornell Medical School"	"Cornell Medical School"	\N	\N	\N	"0"	\N	\N	\N	\N	"1458"
"56"	"Cornell University"	"Cornell"	"Ithaca"	"NY"	"United States"	"0"	"-87.6325525"	"41.8803107"	""	\N	"0"
"57"	"Dalhousie University"	"Dalhousie University"	"Halifax"	"Nova Scotia"	"Canada"	"0"	"-63.59165549999999"	"44.63658119999999"	""	\N	"0"
"58"	"Dartmouth College"	"Dartmouth College"	\N	\N	\N	"0"	\N	\N	\N	\N	"600"
"59"	"Duke University"	"Duke"	"Durham"	"NC"	""	"0"	"-78.9400087"	"36.0015321"	""	\N	"0"
"60"	"Ecole Normale Superieure"	"Ecole Normale Superieure"	\N	\N	\N	"0"	\N	\N	\N	\N	"19551"
"61"	"Eli Lilly and Co."	"Eli Lilly and Co."	"Basingstoke"	"England"	"United Kingdom"	"0"	"-1.096312"	"51.2708727"	\N	\N	"0"
"62"	"Emory University"	"Emory"	"Atlanta"	"GA"	""	"0"	"-84.3232577"	"33.7912161"	""	\N	"0"
"63"	"EPFL-Brain Mind Institute"	"EPFL-Brain Mind Institute"	"Lausanne"	"Vaud"	"Switzerland"	"0"	"6.5667576"	"46.5190557"	\N	\N	"0"
"64"	"Erasmus Universiteit Rotterdam"	"Erasmus Universiteit Rotterdam"	\N	\N	\N	"0"	\N	\N	\N	\N	"-1"
"65"	"Erasmus University Rotterdam"	"Erasmus University"	"Rotterdam"	""	"Netherlands"	"0"	"4.5261741"	"51.9179749"	"http://www.eur.nl/"	\N	"0"
"66"	"ETH Zurich"	"ETH Zurich"	""	""	""	"0"	"0"	"0"	""	\N	"3"
"67"	"European Brain Research Institute"	"European Brain Research Institute"	"Roma"	"Lazio"	"Italy"	"0"	"12.5149542"	"41.7979644"	\N	\N	"0"
"68"	"Eye Research Institute of Retina Foundation"	"Eye Research Institute of Retina Foundation"	"Dallas"	"TX"	"United States"	"0"	"-96.7691629"	"32.879294"	\N	\N	"0"
"69"	"Fitzpatrick, Cella, Harper & Scinto"	"Fitzpatrick, Cella, Harper & Scinto"	"New York"	"NY"	"United States"	"0"	"-73.9793528"	"40.76064239999999"	\N	\N	"0"
"70"	"Florida Atlantic University"	"Florida Atlantic University"	"Boca Raton"	"FL"	"United States"	"0"	"-80.1025434"	"26.3711881"	\N	\N	"0"
"71"	"Florida State University"	"Florida State"	"Tallahassee"	"FL"	"United States"	"0"	"-84.2984889"	"30.4418778"	"http://www.fsu.edu/"	\N	"0"
"72"	"Fondazione Santa Lucia"	"Fondazione Santa Lucia"	"Roma"	"Lazio"	"Italy"	"0"	"12.5150246548549"	"41.8410266"	\N	\N	"0"
"73"	"Fred Hutchinson Cancer Research Center"	"Fred Hutchinson Cancer Center"	"Seattle"	"WA"	"United States"	"0"	"-122.3314858"	"47.6272634"	\N	\N	"0"
"74"	"Freie Universität Berlin"	"FU Berlin"	"Berlin"	""	"Germany"	"0"	"13.2896787"	"52.4525264"	"http://www.fu-berlin.de/en/"	\N	"0"
"75"	"Gatsby Computational Neuroscience Unit"	"Gatsby Computational Neuroscience Unit"	"Sciences Windeyer Building"	"England"	"United Kingdom"	"0"	"-0.1380773"	"51.5211678"	\N	\N	"0"
"76"	"Genentech"	"Genentech"	"San Francisco"	"CA"	"United States"	"0"	"-122.39225409882"	"37.7673119"	\N	\N	"0"
